ORGANISM_CODE,ORGANISM_NAME,ORGANISM_TYPE,ORGANISM_TYPE_DESCRIPTION,IS_COMMON,EXTRACTION_DATE,DATA_SOURCE
ACC,Arthroderma corniculatum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ACC,Nannizzia corniculata,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ACD,Acidaminococcus sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ACE,Acetobacterium sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ACF,Absidia corimbifera,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ACF,Lichtheimia corymbifera,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ACG,Acinetobacter guillouiae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ACH,Achromobacter sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ACJ,Nannizzia cajetana,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ACJ,Arthroderma cajetani,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ACK,Arthroderma cookiellum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ACK,Nannizzia cookiella,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ACL,Aspergillus clavatus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ACM,Actinomadura sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
ACN,Acanthamoeba sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
ACO,Angiostrongylus costaricensis,w,Other,No,2025-05-26,WHONET Organisms.txt
ACP,Acholeplasma sp.,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
ACR,Cephalosporium sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ACR,Acremonium sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ACS,Angiostrongylus cantonensis,w,Other,No,2025-05-26,WHONET Organisms.txt
ACT,Actinomyces sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ACU,Ancylostoma caninum,w,Other,No,2025-05-26,WHONET Organisms.txt
ACV,Aeromonas caviae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ACX,Acidovorax sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ACY,Arcobacter cryaerophilus,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ACZ,Acinetobacter bereziniae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ADE,CDC Vc,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ADE,Alcaligenes xylosoxidans ss. denitrificans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ADE,Achromobacter denitrificans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ADE,Achromobacter xylosoxidans ss. denitrificans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ADF,Acidovorax delafieldii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ADF,Pseudomonas delafieldii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ADH,Aeromonas dhakensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ADI,Acinetobacter dijkshoorniae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ADU,Agchylostoma duodenale,w,Other,No,2025-05-26,WHONET Organisms.txt
ADU,Ancylostoma duodenale,w,Other,No,2025-05-26,WHONET Organisms.txt
ADV,Adenovirus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
AEC,Aerococcus sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
AEE,"Escherichia coli, attaching and effacing (AEEC)",-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AEH,Aeromonas hydrophila,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AEQ,Actinobacillus equuli,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AER,Aeromonas sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AES,Aerococcus sanguinicola,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
AEU,Aeromonas eucrenophila,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AFA,CDC VI,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AFA,Alcaligenes odorans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AFA,Alcaligenes faecalis (odorans),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AFB,Acid fast bacilli,m,Mycobacteria,No,2025-05-26,WHONET Organisms.txt
AFC,Acidovorax facilis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AFC,Pseudomonas facilis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AFD,Afipia clevelandensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AFE,Acidaminococcus fermentans,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AFF,Neocosmospora falciformis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AFF,Acremonium falciforme,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AFI,Afipia sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AFL,Aspergillus flavus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AFM,Arthroderma fulvum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AFM,Nannizzia fulva,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AFN,Aphanoascus fulvescens,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AFO,Afipia broomeae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AFP,Aspergillus fumigatus var. phialiseptus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AFR,Anaerorhabdus furcosa,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AFR,Bacteroides furcosus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AFS,Aspergillus fischerianus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AFU,Aspergillus fumigatus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AFV,Aspergillus flavipes,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AGB,Anaerobic Gram variable coccobacilli,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AGE,Actinomyces gerencseriae,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AGG,Actinomyces georgiae,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AGL,Aspergillus glaucus group,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AGL,Aspergillus glaucus complex,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AGR,Agrobacterium sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AGT,Aggregatibacter sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AGU,Arthroderma grubyi,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AGY,Arthroderma gypseum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AHA,Acinetobacter haemolyticus,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AHE,Arcanobacterium haemolyticum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
AHE,Corynebacterium haemolyticum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
AII,Aliivibrio sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AIL,Aliivibrio salmonicida,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AIM,Apiotrichum montevideense,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AIN,Microsporum incurvatum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AIN,Arthroderma incurvatum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AIS,Actinomyces israelii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AIT,Apiotrichum sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AJA,Aeromonas jandaei,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AJC,Ajellomyces capsulatus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AJE,Ajellomyces sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AJO,Acinetobacter johnsonii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AJU,Acinetobacter junii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AKA,Arthrographis kalrae,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AKI,Acremonium kiliense,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AKI,Sarocladium kiliense,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ALC,Alcaligenes sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ALI,Actinobacillus lignieresii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ALM,Alteromonas sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ALO,Alloiococcus sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
ALT,Alternaria sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ALU,Ascaris lumbricoides,w,Other,No,2025-05-26,WHONET Organisms.txt
ALW,Acinetobacter calcoaceticus var. lwoffii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ALW,Acinetobacter lwoffii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ALY,Alysiella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AMA,Anaplasma marginale,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AMC,Anaplasma centrale,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AMD,Aeromonas media,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AME,Actinomyces meyeri,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AMS,Salmonella Amsterdam,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AMU,Actinomadura madurae,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
AN+,Anaerobic Gram positive organisms,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AN-,Anaerobic Gram negative organisms,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ANA,Anaerobic organisms,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ANB,Anaerobic Gram negative coccobacilli,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ANC,Anaerobic Gram negative cocci,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AND,Aspergillus nidulans,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ANE,Actinomyces naeslundii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ANG,Angiostrongylus sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
ANI,Aspergillus niger,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ANK,Anisakis sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
ANL,Acinetobacter lactucae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ANO,Acinetobacter nosocomialis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ANO,Acinetobacter genospecies 13TU,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ANP,Anaerobiospirillum sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ANR,Anaerobic Gram negative rods,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ANS,Anaerobic streptococci,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ANT,Arcobacter nitrofigilis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ANU,Actinomyces neuii ss. neuii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ANV,Anaerovibrio sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ANY,Ancylostoma sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
AOB,Nannizzia obtusa,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AOB,Arthroderma obtusum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AOD,Actinomyces odontolyticus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AOI,Alloiococcus otitis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
AOT,Arthroderma otae,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AOT,Nannizzia otae,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AOV,Salmonella Abortusovis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
APA,Acinetobacter parvus,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
APB,Anaerobic Gram positive coccobacilli,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
APC,Anaerobic Gram positive cocci,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
APE,Arthroderma persicolor,f,Fungus,No,2025-05-26,WHONET Organisms.txt
APF,Afipia felis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
APH,Aphanoascus sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
API,Alcaligenes piechaudii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
API,Achromobacter piechaudii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
APK,Trueperella pyogenes-like bacteria,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
APK,Actinomyces pyogenes-like bacteria,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
APL,Actinobacillus pleuropneumoniae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
APL,Haemophilus pleuropneumoniae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
APM,Anaplasma mesaeterum,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
APN,Aeromonas punctata,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
APN,Aeromonas punctata ss. punctata,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
APO,Anaplasma ovis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
APR,Anaerobic Gram positive rods,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
APT,Acinetobacter pittii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
APU,Aureobasidium pullulans (H. dematioides),f,Fungus,No,2025-05-26,WHONET Organisms.txt
APU,Hormonema dematioides,f,Fungus,No,2025-05-26,WHONET Organisms.txt
APV,Atopobium parvulum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
APV,Streptococcus parvulus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
APY,Arcanobacterium pyogenes,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
APY,Actinomyces pyogenes,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
APY,Corynebacterium pyogenes,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
APY,Trueperella pyogenes,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
ARA,Arthroderma racemosum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ARA,Nannizzia racemosa,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ARB,Arcanobacterium sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
ARC,Arcobacter sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ARD,Arthroderma sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ARE,Aureobasidium sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ARF,Xenoacremonium recifei,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ARF,Acremonium recifei,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ARH,Anaerorhabdus sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ARI,Salmonella subgroup 3a,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ARI,Salmonella enterica ss. arizonae (Subgroup IIIa),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ARM,Atopobium rimae,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ARM,Lactobacillus rimae,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ARN,Carnobacterium sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
ARO,Acinetobacter resistans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ARO,Acinetobacter radioresistens,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ARR,Papularia sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ARR,Arthrinium sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ARS,Aspergillus restrictus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ART,Arthrographis sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ARX,Arxiozyma sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ASA,Aeromonas salmonicida,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ASB,Aeromonas veronii biovar sobria,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ASC,Ascaris sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
ASD,Acinetobacter schindleri,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ASE,Acinetobacter seifertti,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ASH,Aeromonas schubertii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ASK,Arcobacter skirrowii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ASN,Anaerobiospirillum succiniciproducens,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ASO,Aeromonas sobria,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ASP,Aspergillus sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ASU,Actinobacillus suis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ASV,Astrovirus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
ASY,Aspergillus sydowii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ATB,Arthrobacter sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
ATC,Actinomyces turicensis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
ATE,Aspergillus terreus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
ATI,Actinobaculum suis,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
ATM,Acidovorax temperans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ATM,Pseudomonas temperans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ATO,Atopobium sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ATR,Aeromonas enteropelogenes,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ATR,Aeromonas trota,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ATS,Actinobacillus seminis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ATU,CDC Vd-3,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ATU,Rhizobium radiobacter,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ATU,Agrobacterium radiobacter,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ATU,Agrobacterium tumefaciens (radiobacter),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AUB,Aureobacterium sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
AUG,Acinetobacter ursingii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AUN,Aerococcus urinae,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
AUR,Pasteurella ureae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AUR,Actinobacillus ureae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AUS,Corynebacterium auris,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
AVA,Avibacterium sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AVB,Acetivibrio sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AVC,Anaerobic Gram variable cocci,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AVE,Aeromonas veronii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AVH,Aerococcus viridans var. homari,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
AVI,Aerococcus viridans,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
AVL,Aspergillus versicolor,f,Fungus,No,2025-05-26,WHONET Organisms.txt
AVR,Anaerobic Gram variable rods,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AVS,Actinomyces viscosus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
AVV,Aeromonas veronii biovar veronii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AXY,Alcaligenes xylosoxidans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AXY,Alcaligenes xylosoxidans ss. xylosoxidans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AXY,Achromobacter xylosoxidans ss. xylosoxidans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AXY,CDC IIIa,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
AXY,CDC IIIb,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B01,Shigella boydii serotype 1,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
B02,Shigella boydii serotype 2,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B03,Shigella boydii serotype 3,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B04,Shigella boydii serotype 4,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B05,Shigella boydii serotype 5,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B06,Shigella boydii serotype 6,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B07,Shigella boydii serotype 7,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B08,Shigella boydii serotype 8,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B09,Shigella boydii serotype 9,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B10,Shigella boydii serotype 10,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B11,Shigella boydii serotype 11,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B12,Shigella boydii serotype 12,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B13,Shigella boydii serotype 13,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B14,Shigella boydii serotype 14,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B15,Shigella boydii serotype 15,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B16,Shigella boydii serotype 16,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B17,Shigella boydii serotype 17,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B18,Shigella boydii serotype 18,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
B19,Parvovirus B19,v,Unknown,No,2025-05-26,WHONET Organisms.txt
BAA,Brachyspira aalborgi,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
BAB,Brucella melitensis biovar abortus,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
BAC,Bacteroides sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
BAC,Capsularis sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
BAD,Bifidobacterium adolescentis,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
BAD,CDC Coryneform Group E,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
BAF,Borrelia afzelii,b,Bacteria,No,2025-05-26,WHONET Organisms.txt
BAH,Burkholderia anthina (genomovar VIII),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
BAL,Paenibacillus alvei,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
BAL,Bacillus alvei,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
BAM,Burkholderia ambifaria (genomovar VII),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
BAN,Bacillus anthracis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
BAQ,Budvicia aquatica,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
BAR,Bartonella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
BAS,Basidiobolus sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
BAT,Balantidium sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
BAU,Curvularia australiensis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
